"","name","add","BD_lon","BD_lat","WGS_lon","WGS_lat"
"54","白玉县妇幼保健院","河西街7号",98.828451,31.214147,98.8213135827024,31.2108832709999
"55","道孚县鲜水镇社区卫生服务中心","甘孜藏族自治州道孚县解放西街",101.129599,30.986115,101.121240502041,30.9824945807223
"56","丹巴县水子乡卫生院","四川省甘孜藏族自治州丹巴县G350(中国熊猫大道)",101.86489,30.866257,101.856878786553,30.862777210496
"57","新龙县妇幼保健院","沿江西路南段82",100.318016,30.94384,100.310310321582,30.9399995094614
"58","香根扶贫卫生院","四川省甘孜藏族自治州甘孜县解放街241",99.995241,31.628389,99.9875369511532,31.6246575348203
"59","炉霍县新都镇中心卫生院","环城路43号",100.680998,31.398666,100.673352227386,31.394739926303
"60","田坝乡卫生院","田坝派出所斜对面",102.222797,29.892551,102.214730856674,29.8891386063033
"61","丹巴县章谷镇卫生院","丹巴县交警大队南侧",101.903941,30.883652,101.896002018167,30.8801433066073
"62","沪定县加郡乡卫生院","甘孜藏族自治州泸定县",102.212708,29.692374,102.204577722572,29.689127295275
"63","兴隆镇卫生院","甘孜藏族自治州泸定县",102.232388,29.771818,102.224377592958,29.7682976247973
"64","得荣县妇幼计划生育服务中心","甘孜藏族自治州得荣县河东下街13号",99.295365,28.714615,99.2877738304437,28.7122031648772
"65","丹巴县岳扎乡卫生院","墨尔多山镇政府旁",101.958188,30.937303,101.950110491579,30.9341608995164
"66","炉霍县朱倭乡中心卫生院","朱倭乡派出所旁",100.317043,31.640382,100.309313816914,31.6363076641088
"67","洛若镇卫生院","甘孜藏族自治州色达县泥曲路与知穷拉则街交叉路口东南侧",100.468997,32.133882,100.461126870574,32.1300005642031
"68","巴底中心卫生院","甘孜藏族自治州丹巴县巴底乡政府旁",101.885646,31.113111,101.877715763193,31.1093426160287
"69","金诃子利民门诊","四川省甘孜藏族自治州雅江县解放街150附近",101.020804,30.036858,101.012749864262,30.0334725853818
"70","半扇门乡中心卫生院","半扇门政府旁",102.060096,31.000408,102.051684154871,30.9969835979257
"71","九龙县乃渠乡卫生院","甘孜藏族自治州九龙县",101.683306,28.76216,101.675219920916,28.7596703755636
"72","罗文堂中西医门诊","四川省甘孜藏族自治州泸定县成武路103附近",102.238855,29.913572,102.230850581973,29.9099877600007
"73","斯闸乡卫生院","斯闸乡中心校对面",99.295069,28.833631,99.287476162502,28.8311369670303
"74","色达县杨各乡卫生院","甘孜藏族自治州色达县",100.706369,31.934144,100.698579688104,31.9303211194699
"75","青麦乡中心卫生院","四川省甘孜藏族自治州乡城县青德镇政府斜对面(217省道东)",99.836311,28.825133,99.828799576662,28.8222567813158
"76","得妥镇卫生院","甘孜藏族自治州泸定县得妥大桥",102.185657,29.590154,102.177415430071,29.5871373206035
"77","乡城县尼斯乡卫生院","甘孜藏族自治州乡城县",99.815305,28.958606,99.8076643274548,28.9558654727273
"78","丹巴县东谷乡卫生院","东谷镇政府对面",101.759446,30.793943,101.751312957033,30.7902112129825
"79","新龙县博美乡卫生院","甘孜藏族自治州新龙县",100.176164,30.772958,100.168307376075,30.7694417077974
"80","康定县孔玉乡卫生院","孔玉乡政府旁",102.069484,30.527551,102.061072919143,30.5243541670032
"81","康定县金汤乡卫生院","四川省甘孜藏族自治州康定市惠民街",102.284446,30.375159,102.276317617546,30.3719605428645
"82","拖坝中心卫生院","拖坝乡政府旁",100.079121,31.593115,100.071240111519,31.5889108227278
"83","热打乡中心卫生院","学竹派出所旁",99.649878,29.112737,99.642337432285,29.1101484696063
"84","康定县朋布西乡卫生院","甲根坝镇政府旁",101.534356,29.806204,101.526300575084,29.8027224959919
"85","石渠县德荣玛乡卫生院","德荣玛乡中心小学校旁",97.981156,33.073836,97.9742011185057,33.0702951622534
