"","name","add","BD_lon","BD_lat","WGS_lon","WGS_lat"
"54","巴塘县第二完全小学","318国道东150米",99.106137,29.996062,99.0986302730644,29.9924870195071
"55","白垭乡中心小学","甘孜藏族自治州德格县",98.704305,31.53753,98.6972419574863,31.5341505335896
"56","德格县马尼干戈片区寄宿制学校","四川省甘孜藏族自治州德格县",99.210939,31.938418,99.2033704462959,31.9347711165952
"57","德格县城关寄宿制小学校","更庆镇藏医街10号",98.587335,31.814117,98.5804608932797,31.8108797954878
"58","巴塘县列衣小学校","四川省甘孜藏族自治州巴塘县列衣乡仲堆列衣隧道列衣中心学校",99.372354,30.307362,99.3646973562729,30.3036616785366
"59","道孚县城关小学","居民路46",101.136616,30.985796,101.128295744662,30.9820741581873
"60","石渠县第二完全小学","甘孜藏族自治州石渠县德吉东街(四川省石渠县中学校)",98.108717,32.980501,98.1014872305359,32.976775248554
"61","雅江县城关第一完全小学","甘孜藏族自治州雅江县解放街与新街交叉路口往南约100米(茶马古道大酒店南侧约100米)",101.021028,30.038188,101.012974057796,30.0347985041819
"62","白玉县安孜乡中心小学","四川省甘孜藏族自治州白玉县门马二甘白路安孜乡中心小学",99.372196,31.129788,99.3645037070011,31.1257381248874
"63","兴隆中心小学","四川省甘孜藏族自治州泸定县003乡道南50米",102.251987,29.759483,102.244025764613,29.7559115500042
"64","乡城县青德寄宿制小学","青德公路南150米",99.839344,28.849733,99.8318461839271,28.8468243178827
"65","巴底小学","甘孜藏族自治州丹巴县",101.882761,31.111542,101.874825105818,31.1077771616996
"66","康定市营官希望小学","318国道东50米",101.540969,30.022655,101.532911429663,30.0192432998118
"67","双九小学","四川省甘孜藏族自治州九龙县汤古镇双九小学",101.51228,29.142817,101.50419193327,29.1396349401707
"68","炉霍县洛秋乡中心小学","四川省甘孜藏族自治州炉霍县洛秋乡中心小学(炉霍县洛秋乡政府东南)",100.641668,31.422831,100.63396868813,31.4194701302348
"69","色达县城区二完小","四川省甘孜藏族自治州色达县前进路东段38号",100.351907,32.272449,100.344017521791,32.2686182567431
"70","德格县城关第二完全小学","甘孜藏族自治州德格县",98.588031,31.807451,98.5811639174753,31.8042144717517
"71","康定市实验小学","甘孜藏族自治州康定市情歌路(康定市新城实验小学)",101.964566,30.005049,101.956510587724,30.0020622635932
"72","炉霍县雅德乡昌达村完全小学","甘孜藏族自治州炉霍县317国道南50米",100.615178,31.438423,100.607495048162,31.4351184208633
"73","第二完小","鲜水镇解放新街88号",101.124769,30.991487,101.11638561961,30.9879263851071
